Rank,Song,Artist,Year,Lyrics,Source
76,red roses for a blue lady,"vic dana
",1965,"vic dana
miscellaneous
red roses for a blue lady
red roses for a blue lady

artist: vic dana (peak billboard position # 10 in 1965)
words and music by sid tepper and roy bennett
just edged out contemporary # 11 hit by bert kaempfert
soundly beat wayne newton's contemporary # 23 version.
previously a # 3 hit for vaughn monroe in 1949

i want some red roses for a blue lady
mister florist take my order please
we had a silly quarrel the other day
i hope these pretty flowers chase her blues away

i want some red roses for a blue lady
send them to the sweetest gal in town
and if they do the trick, i'll hurry back to pick
your best white orchid for her wedding gown

(i want some red roses for a blue lady)

we had a silly quarrel the other day
i hope these pretty flowers chase her blues away

i want some red roses for a blue, blue lady
send them to the sweetest gal in town
and if they do the trick, i'll hurry back to pick
your best white orchid for her wedding gown

your best white orchid for her wedding gown

transcribed by ronald e. hontz
[email protected]",0
77,don't just stand there,"patty duke
",1965,"please don't just stand there
come and kiss me like before
please don't just stand there
looking down at the floor

if something is wrong, give me just one little sign
if there's someone else, please tell me
tell me, what, what, what, what's on your mind?

once when we'd meet
you'd run to hold me tight
life was so sweet until tonight

please don't just stand there
get it over if we're through
please don't just stand there
while my heart breaks in two

knowing i care, how can you be so unkind?
please stop hurting me and help me
tell me, what, what, what, what's on your mind

if it's a game
i don't want to play it
and if it's goodbye
why can't you just say it?

why make me cry like you do?
how can you be so unkind?
please start loving me or leave me
tell me, what, what, what, what's on your mind?

don't just stand there
tell me, what, what, what, what's on your mind?
don't just stand there
tell me, what, what, what, what's on your mind?
don't just stand there
tell me, what, what, what, what's on your mind?",0
78,the tracks of my tears,"the miracles
",1965,"people say i'm the life of the party
'cause i tell a joke or two
although i might be laughing loud and hearty
deep inside i'm blue

so take a good look at my face
you'll see my smile looks out of place
if you look closer it's easy to trace
the tracks of my tears
i need you...

need you
since you left me if you see me with another girl
seeming like i'm having fun
although she may be cute, she's just a substitute
'cause you're the permanent one

so take a good look at my face
you'll see my smile looks out of place
if you look closer it's easy to trace
the tracks of my tears
(outside) i'm masquerading

(inside) my hope is fading
i'm just a clown since you put me down
my smile is my make up
i wear since my break-up with you
baby, take a good look at my face
you'll see my smile looks out of place

just look closer it's easy to trace
the tracks of my tears
baby, baby, baby, baby
take a good look at my face
you'll see my smile looks out of place
if you look a little bit closer it's easy to trace
end",0
79,too many rivers,"brenda lee
",1965,"i wish i could come back to you dear
'cause i know that you want me too
but too much waters run under that old bridge
there's too many rivers between me and you

there's too many rivers to cross dear
too many dreams have been lost
and there's too many long nights that i've turned and tossed
there's too many rivers to cross

now don't think for a moment i blame only you
we both peeled the fruit on the vine
and when you try to put love back together
there's always a few little pieces that you can't find

yes, there's too many rivers to cross dear
and there's too many dreams that have been lost
aah, there's too many long nights that i've turned and i've tossed
there's too many rivers to cross",0
80,i like it like that,"the dave clark five
",1965,"come on
(come on, let me show you where it's at)
ah, come on
(come on, let me show you where it's at)
wow, come on
(come on, let me show you where it's at)
i said the name of the place is i like it like that

come on
(come on, let me show you where it's at)
ah, come on
(come on, let me show you where it's at)
whoa, i wanna show you
(come on, let me show you where it's at)
the name of the place is i like it like that

they got a little place a-down the track
the name of the place is i like it like that
you take sally and i'll take sue
and we're gonna rock away all of our blues

come on
(come on, let me show you where it's at)
oh, come on
(come on, let me show you where it's at)
ah, come on
(come on, let me show you where it's at)
the name of the place is i like it like that

the last time i was down, they lost my shoes
they had some cat, shoutin' the blues
the people was yellin' and shoutin' for more
and all they kept sayin' was-a, ""go man, go""

come on
(come on, let me show you where it's at)
ah, come on
(come on, let me show you where it's at)
oh, i wanna show you
(come on, let me show you where it's at)
i said the name of the place is i like it like that

come on
(come on, let me show you where it's at)
ah, come on
(come on, let me show you where it's at)
oh, come on
(come on, let me show you where it's at)
the name of the place is i like it like that",0
81,little things,"bobby goldsboro
",1965,"little things that you do 
make me glad i'm in love with you
little things that you say 
make me glad that i feel this way
the way you smile, the way you hold my hand
and when i'm down you always understand

you know i love those little things i hear
that you say when there's no one near
little things that you do 
let me know that your love is true
when we walk you like to hold my hand
and when we talk you tell me i'm your man

you know i love those little things that i knew
the little things you whispered in my ear
i know there ain't nobody else like you
no one could do the little things you do

little things that you do 
make me glad i'm in love with you
little things that you say 
make me glad that i feel this way
when we walk you like to hold my hand
and when we talk you tell me i'm your man

you know i love those little things that i knew
the little things you whispered in my ear
i know there ain't nobody else like you",0
82,true love ways,"peter and gordon
",1965,"peter
miscellaneous
true love ways
true love ways
buddy holly

yes you know why
why you and i
will by and by
know true love ways

sometimes we'll sigh
sometimes we'll cry
and we'll know why
just you and i
know true love ways

throughout the days
our true love ways
will bring us joy to share
with those who really care

sometimes we'll sigh
sometimes we'll cry
and we'll know why
just you and i
know true love ways",0
83,it's the same old song,"four tops
",1965,"you're sweet (you're sweet)
as a honeybee
but like a honeybee stings
you've gone and left my heart in pain
all you left (all you left)
is our favorite song
the one we danced to all night long
it used to bring sweet memories (sweet memories)
of a tender love that used to be

now it's the same old song
but with a different meaning since you've been gone
it's the same old song
but with a different meaning since you've been gone
and it breaks me up to hear it

ah, oh, ah, sentimental fool am i (sweet memories)
to hear an old love song and want to cry
but the melody keeps haunting me
reminding me how in love we used to be
keep hearing the part that used to touch our hearts
staying (together forever)
darling (breaking up never)

now it's the same old song (can't bear to hear it)
but with a different meaning since you've been gone
oh, it hurts to hear it
it's the same old song
but with a different meaning since you've been gone

precious memories keep lingering on
every time i hear our favorite song
now you've gone
left this emptiness
i only reminisce the happiness we spent
we used to dance to the music (dance to the music)
make romance to the music (make romance to the music)

now it's the same old song
but with a different meaning since you've been gone
now it's the same old song
but with a different meaning since you've been gone
i, oh, i can't bear to hear it
it's the same old song
but with a different meaning since you've been gone
ooh, it breaks me up to hear it
it's the same old song
but with a different meaning since you've been gone",0
84,you've got your troubles,"the fortunes
",1965,"i see that worried look upon your face,
you've got your troubles, i got mine.
she's found somebody else to take your place;
you've got your troubles, i got mine.
i too have lost my love today,
all of my dreams have flown away.
now just like you i sit and wonder why;
you've got your troubles, i got mine.
you need some sympathy, well so do i,
you've got your troubles, i got mine.
she used to love me, that i know,
and it don't seem so long ago
that we were walking, that we were talking
the way that lovers do.
and so forgive me if i seem unkind,
you've got your troubles, i got mine.
(counter: and it must seem to you, my friend,
that i ain't got no pity for you,
well that ain't true,
you see i lost my, lost my, lost my litttle girl too.)
i'd help another place, another time,
you've got your troubles, i got mine.
you've got your troubles, i got mine.
you've got your troubles, i got mine.",0
85,hold what you've got,"joe tex
",1965,"hold what you've got 3: 08 trk 5
(joe tex)
joe tex
dial records single #4001
recorded: muscle shoals, al
pop chart #5 dec 19, 1964+
album: joe tex greatest hits, cbs a21551

you had better hold on
hold on to what you got
you had better hold on
hold on to what you got

'cause if you think nobody wants it
just throw it away and you will see
someone will have it
before you can count
1, 2, 3, yes they will, yes they will

spoken:

listen fellas, you know, it's not all the time
that a man can have a good woman.
a woman that he can call his very own.
a woman who'll stay right there at home
and mind the children while he's gone to work.

a woman who'll have his dinner cooked when
he comes home.
where some men make mistakes is when they go
out and stay because they feel that no other man
wants his woman but him. but listen:

sings:

if you think no other man wants her
just throw her away and you will see
some man will have her
before you can count 1, 2, 3
yes, they will, yes, he will

spoken:

ha ha! listen girls
this goes for you, too.
because you know i've seen so many women
who've had so many good men in life.

men who would stand by 'em through thick and thin.
men who would go to work everyday and bring home
their hard earned pay.
men who would give their women anything that their
little heart desired.

where some women make mistakes
is when their men go out and let 'em play.
they would stay because they felt that no other
woman wanted him but her. listen:

sings:

if you think that no other woman wants him
just pitch him out in the streets and you will see.
some woman will have your man
before you can count, 1, 2, 3.
yes, you will, yes you wiii-ll.

~",0
86,we gotta get out of this place,"the animals
",1965,"midnight finds me cryin'
day time finds me cryin' too
i've got to get out of town
this whole city just brings me down, yeah

gotta get away
gotta get away
gotta get away

i made a promise to you such a long time ago
now baby, now baby, now baby, now baby
it's time to make it come true yeah, come through yeah
come true yeah, come through yeah, come true yeah

in this dirty old part of the city
where the sun refuse to shine
people tell me there ain't no use in me trying, no
little girl you're so young and you're so pretty
and one thing i know is true
your going to be dead before your time is due

see my daddy in bed dying
watched his hair been turning gray
i know he's been working and slaving
working and slaving, slaving and working
working, yeah
work, yeah, yeah, yeah, yeah

we gotta get out of this place
if it's the last thing we ever do
we gotta get out of this place, there's a better life
don't you know, don't you know
man, don't you know, don't you know, don't you know

well, well, well
time brings about a change
time on the clock, on the wall
brings about a change, yeah
all of his life he's been slaving
all of the life he's been working

for what? for what?
for what? for what?
give it up, give it up
give it up, give it up, yeah

see my daddy in bed dying
watched his hair been turning gray
i know he's been working and slaving
and slaving and working, and working and slaving
working, yeah
work, yeah, yeah, yeah, yeah

we gotta get out of this place
if it's the last thing we ever do
we gotta get out of this place
there's a better life
don't you know, don't you know, don't you know

take me, take me, take me

we gotta get out of this place
if it's the last thing we ever do
we just gotta get out of this place
there's a better life, there's a better world
there's a better way
don't you know, don't you know, don't you know

we gotta get out of this place
if it's the last thing we ever do
we gotta get out of this place
there's a better world
don't you know, don't you know, don't you know
i want to get you out of this place

out of this place
out of this place
yeah, yeah, yeah",0
87,"laugh, laugh","the beau brummels
",1965,"the beau brummels
miscellaneous
laugh laugh

i hate to say it but i told you so, don't mind my preachin' to you
i said ""don't trust 'em, baby"" now you know
you don't know ev'rything there is to know in school.
wouldn't believe me when i gave advice, i said that he was a tease
if you want help you better ask me now
so be sincere, convince me with a ""pretty please""

laugh, laugh, i thought i'd die
it seemed so funny to me
laugh, laugh you met a guy who taught you how it feels to be
lonely, oh so lonely

don't think i'm bein' funny when i say you got just what you deserve
i can't help feeling you found out today
you thought you would, you could, you had a lot of nerve

won't say i'm sorry for the things i said. i'm glad he packed up to go
you kept on braggin' he was yours instead
found you don't know ev'rything there is to know

laugh, laugh, i thought i'd die
it seemed so funny to me
laugh, laugh you met a guy who taught you how it feels to be
lonely, oh so lonely

before i go i got to say one thing, don't close your ears to me
take my advice and you find out that he
is just another guy who'll cause you misery
don't say you can't get any boy to call, do be so smug or else
you'll find you can't get any boy a'tall
you'll wind up an old lady sittin' on the shelf.

laugh, laugh, i thought i'd die
it seemed so funny to me
laugh, laugh you met a guy who taught you how it feels to be
lonely, oh so lonely

lonely, oh so lonely

[email protected]",0
88,the last time,"the rolling stones
",1965,"well i told you once and i told you twice
but ya never listen to my advice
you don't try very hard to please me
with what you know it should be easy
well this could be the last time
this could be the last time
maybe the last time
i don't know. oh no. oh no
well, i'm sorry girl but i can't stay
feelin' like i do today
it's too much pain and too much sorrow
guess i'll feel the same tomorrow
well this could be the last time
this could be the last time
maybe the last time
i don't know. oh no. oh no
well i told you once and i told you twice
that someone will have to pay the price
but here's a chance to change your mind
cuz i'll be gone a long, long time
well this could be the last time
this could be the last time
maybe the last time
i don't know. oh no. oh no
well, this could be the last time",0
89,do you believe in magic,"the lovin' spoonful
",1965,"do you believe in magic?
in a young girls heart
how the music can free her
whenever it starts

and it's magic
if the music is groovy
it makes you feel happy like an old time movie

i'll tell ya about the magic
it'll free your soul
but it's like trying to tell a stranger 'bout rock n roll

if you believe in magic, don't bother to choose
if it's jug band music or rhythm and blues
just go and listen
it'll start with a smile
it won't wipe off your face no matter how hard you try
your feet start tapping
and you can't seem to find
how you got there
so just blow your mind

if you believe in magic
come along with me
we'll dance until morning, just you and me
and maybe, if the music is right
i'll meet ya tomorrow
so late at night

we'll go a dancin' baby then you'll see
all the magic's in the music and the music's in me, yeah

do you belive in magic? yeah.
believe in the magic in a young girl's soul
believe in the magic of rock n roll
believe in the magic that can set you free
ohhhh, talkin' bout magic

do you believe like i believe?
do you believe in magic?",0
90,all i really want to do,"cher
",1965,"now i ain't lookin' to compete with you
beat on, cheat on, mistreat you
simplify you, classify you
deny, defy, mystify you

all i really want to do
is baby, be friends with you
baby, be friends with you

now i ain't lookin' to fight with you
frighten you or uptighten you
drag you down or drain you down
chain you down or bring you down

all i really want to do
is baby, be friends with you
baby, be friends with you

i ain't lookin' to block you up
dock or rock or lock you up
analyze you, categorize you
finalize or advertise you

all i really want to do, yeah
is baby, be friends with you
baby, be friends with you

i don't want to straight-face you
race or chase or track or trace you
or disgrace you or displace you
or define you or confine you

all i really want to do, yeah
is baby, be friends with you
baby, be friends with you

now i don't want to meet your kin
make you spin or do you in
or select you or dissect you
or inspect you or reject you

all i really want to do
is baby, be friends with you
baby, be friends with you",0
91,take me back,"little anthony and the imperials
",1965,"take me back, i'm beggin' please
take me back, i'm on my knees
for you to scold me, hurt me, hold me
darling, take me back

when you belonged to me
i had a jealous mind
too late i learned that you
were not the cheating kind

take me back, i'm beggin' please
take me back, i'm on my knees
for you to scold me, hurt me, hold me
darling, take me back

my jealous eyes have learned
to take a look or two
they were too blind to see
that i was losing you

take me back, i'm beggin' please
take me back, i'm on my knees
for you to scold me, hurt me, hold me
darling, take me back

they say, you live and learn
and though i've tried before
i promise never to
be jealous any more

take me back, i'm beggin' please
take me back, i'm on my knees
for you to scold me, hurt me, hold me
darling, take me back",0
92,i want candy,"the strangeloves
",1965,"i know a girl who's soft and sweet
she's so fine, she can't be beat
got everything that i desire
sets the summer sun on fire

i want candy, i want candy

go to see her with her hair hung down
ain't no finer girl in town
candy's just what the doctor ordered
she's so sweet, she makes my mouth water

i want candy, i want candy (3 times)

candy on the beach, there's nothing better
but i like candy when it's wrapped in a sweater
some day soon i'll make her mine
then i'll have candy all the time

i want candy, i want candy

hey (repeat and fade)",0
93,ooo baby baby,"the miracles
",1965,"i did you wrong
my heart went out to play
and in the game i lost you
what a price to pay ooh
i'm cryin'

ooh ooh baby baby

ooh ooh baby baby

mistakes, i know i've
made a few, but i'm
only human, you've made
mistakes too i'm cryin'

ooh ooh baby baby
ooh ooh baby baby

oooooh baby baby
ooh ooh ooh ooh

i'm just about at the
end of my rope
but i can't stop trying
i can't give up hope
because i feel someday
i'll hold you near
whisper i still love you
until that day is here oooooh
i'm cryin'
repeat",0
94,laugh at me,"sonny
",1965,"songwriters: bono, sonny

why can't i, be like any guy?
why do they try to make me run?
son of a gun, now.

what do they care, about the clothes i wear?
why get their kicks from making fun, yeah

this world's got a lot of space
and if they don't like my face
it ain't me that's going anywhere, no

so i don't care
let 'em laugh at me
if that's the fare
i have to pay to be free
then baby
laugh at me, and i'll cry for you
and i'll pray for you
and i'll do all the things that the man upstairs says to do
i'll do 'em for you
i'll do 'em
i'll do 'em all for you

it's gotta stop someplace
it's gotta stop sometime

i'll make sure that she's mine
and maybe the next guy
that don't wear a silk tie
he can walk by and say ""hi""
say, ""hi""
instead of why
instead of why
instead of why babe
instead of why
what did i do to you
i don't know what to do",0
95,treat her right,"roy head
",1965,"i wanna tell you a story 
every man oughta know 
if you want a little lovin'
you gotta start real slow 
she's gonna love you tonight now 
if you just treat her right now 

squeeze her real gentle 
gotta make her feel good 
tell her that you love her 
like you know you should 
so if you don't treat her right 
she won't love you tonight 

if you practice my method 
just as hard as you can 
you're gonna get a reputation 
as a lovin' man 
and you'll be glad every night 
that you treated her right 

(music to fade)",0
96,the race is on,"jack jones
",1965,"i feel tears wellin' up cold and deep inside
like my heart's sprung a big break
and a stab of loneliness sharp and painful
that i may never shake
you might say that i was taking it hard
oh, she wrote me off with a call
but don't you wager that i'll hide the sorrow
when i may break right down and bawl?

well, the race is on and here comes pride up the backstretch
heartaches are going to the inside
my tears are holding back
they're tryin' not to fall
my heart's out of the running
true love's scratched for another's sake
the race is on and it looks like heartaches
and the winner loses all.

one day i ventured in love, never once suspectin'
what the final result would be
how i lived in fear of waking up each morning
and thinkin' that you're gone from me
there's ache and pain in my heart
for today was the one that i hated to face
somebody new came up to win her
i came out in second place.",0
97,i'm a fool,"dino, desi & billy
",1965,"you know where i can be found
don't you know i'll be waiting
by the telephone, girl

while you're out
running around, yeah
i'm sitting home all alone

i'm a fool, just a silly fool
to be in love with you

you can't be kind to me, girl
you always treat me bad, girl
but i can't let you go, i know
it would only make me sad

i'm a fool, just a silly fool
to be in love with you

you treat me just like dirt
you have all the fun
i stay at home and hurt

baby, i wish i knew, yeah
just how to get you
off my mind, girl

to put you down and
say we're through, yeah
i think about you all the time

i'm a fool, just a silly fool
to be in love with you

baby, i wish i knew, yeah
just how to get you
off my mind, girl

to put you down and
say we're through, yeah
i think about you all the time

i'm a fool, just a silly fool
to be in love with you

i'm a fool, i'm a fool
i'm a fool, i'm a fool",0
98,the boy from new york city,"the ad libs
",1965,"oo ah oo ah oo oo, kitty
tell us about the boy
from new york city

oo ah oo ah come on, kitty
tell us about the boy
from new york city

he's kinda tall
he's really fine, yeah, yeah
someday i hope to make him
mine, all mine yeah, yeah

and he's neat and oh, so sweet
and the way he looked at me just
swept me off my feet
yeah, yeah

oo ee you oughta come and see
how he walks yeah yeah
and he talks

oo ah oo ah oo oos kitty
tell us about the boy from new
york city

oo ah oo ah come on, kitty
tell us about the boy from new
york city

he's really down and he's no
clown yeah, yeah
he has the finest penthouse
i've ever seen in town yeah, yeah

and he's cute in his mohair suit
and he keeps his pockets full of
spending loot yeah, yeah
oo ee, yeah, we're all right
yeah, oo oo

ev'ry time he says he loves me
chills run down my spine
ev'ry time he wants to kiss me
he makes me feel so fine

that's him
alright he's the boy from new
york city
we call him jill, we're all right.
oo ah oo ah kitty

tell us about the boy from new
york city
oo ah oo ah kitty
tell us about the boy from new
york city",0
99,keep searchin' (we'll follow the sun),"del shannon
",1965,"no one will understand what i've gotta do
i've gotta find a place to hide with my baby by my side
she's been hurt so much, they treat her mean and cruel
they try to keep us far apart, there's only one thing left we can do

we gotta keep searchin', searchin', find a place to hide
searchin', searchin', she'll be by my side
if we gotta keep on the run, we'll follow the sun-ah, whee-ooh
follow the sun-ah, whee-ooh

doesn't matter, doesn't matter what people might say
she's mine, and i'm gonna take her anyway

gotta keep searchin', searchin', find a place to stay
searchin', searchin', every night and day
if we gotta keep on the run, we'll follow the sun-ah, whee-ooh
follow the sun-ah, whee-ooh

we gotta keep searchin', searchin', find a place to hide
searchin', searchin', she'll be by my side
if we gotta keep on the run, we'll follow the sun-ah, whee-ooh
follow the sun-ah, whee-ooh
follow the sun-ah, whee-ooh
follow the sun",0
100,how sweet it is (to be loved by you),"marvin gaye
",1965,"how sweet it is to be loved by you, yes, baby
how sweet it is to be loved by you

ooh, baby, i needed the shelter of someone's arms
and there you were
i needed someone to understand my ups and downs
and there you were

with sweet love and devotion
deeply touching my emotion
i want to stop and thank you, baby
i want to stop and thank you, baby

hey now, how sweet it is to be loved by you
oh baby, how sweet it is to be loved by you, yes, it is

close my eyes at night
and wonder what would i be without you in my life
everything was just a bore
all the things i did seems i've done 'em before

but you brightened up all my days
with a love so sweet in so many ways
i want to stop and thank you, baby
i want to stop and thank you, baby

hey, how sweet it is to be loved by you, oh yes it is, baby
how sweet it is to be loved by you, yes it is, baby

you were better to me than i've been to myself
for me, there's you and  nobody else
stop and thank you, baby
i want to stop and thank you, baby

oh, how sweet it is to be loved by you, tell the truth, baby
how sweet it is to be loved by you
well, it's like sugar to my soul

how sweet it is to be loved by you, oh yes it is, baby",0
